zip,lat,long
85260,33.6013,-111.8867
93534,34.6909,-118.1491
92583,33.7967,-116.9324
23608,37.1526,-76.542
85326,33.3703,-112.5838
77656,30.3244,-94.1907
77024,29.7696,-95.5201
54703,44.8346,-91.5159
53035,43.3934,-88.5441
27523,35.7225,-78.8408
78634,30.5257,-97.5672
74012,36.0447,-95.8079
28217,35.1714,-80.9084
21851,38.0714,-75.555
55975,43.6823,-92.368
77094,29.7705,-95.7107
01527,42.1968,-71.7644
44060,41.6895,-81.3421
35210,33.5452,-86.6655
29730,34.9151,-81.0129
61109,42.2166,-89.0512
52216,41.8896,-91.0605
49037,42.3453,-85.2178
01440,42.574,-71.9898
32086,29.8285,-81.3237
02143,42.3829,-71.1028
90703,33.8669,-118.0686
45213,39.1802,-84.4204
45365,40.2874,-84.1622
44135,41.4342,-81.8044
63366,38.8239,-90.7427
21122,39.1206,-76.495
22401,38.2995,-77.4772
99163,46.7352,-117.1729
03060,42.7564,-71.4667
33625,28.0726,-82.559
53121,42.7009,-88.5462
97914,44.0416,-116.9783
55992,44.3032,-92.6719
75247,32.8152,-96.8703
45503,39.9528,-83.7804
03865,42.8356,-71.0934
37210,36.1379,-86.741
35816,34.7389,-86.6249
34453,28.8723,-82.3454
23666,37.0462,-76.4096
66720,37.6749,-95.457
84321,41.747,-111.8226
38115,35.0579,-89.864
31705,31.5464,-84.0783
98632,46.1514,-122.9634
35058,34.2098,-86.752
80601,39.943,-104.7866
23233,37.4638,-77.398
35661,34.7561,-87.6304
38501,36.2178,-85.5423
55972,43.9585,-92.0517
63127,38.5355,-90.407
18103,40.5891,-75.4645
85014,33.5103,-112.0556
44632,40.9618,-81.3239
96753,20.7441,-156.4475
60020,42.3937,-88.1648
30214,33.4679,-84.4806
85635,31.5365,-110.2666
68847,40.7136,-99.0779
08879,40.464,-74.2742
49435,43.0532,-85.842
14127,42.7639,-78.7518
33331,26.048,-80.3749
08016,40.068,-74.8454
76063,32.5773,-97.1416
03063,42.7717,-71.5132
94520,37.9823,-122.0362
30058,33.7356,-84.1009
98115,47.6849,-122.2968
85202,33.3851,-111.8724
45240,39.2851,-84.5288
29078,34.2296,-80.7147
57428,45.453,-99.654
03079,42.7846,-71.2176
46755,41.4482,-85.2609
85017,33.5153,-112.1212
20748,38.8222,-76.9478
00614,,
58104,46.7932,-96.8397
50021,41.7212,-93.5682
06524,41.4262,-73.0007
99362,46.0614,-118.3315
33614,28.0091,-82.5034
60447,41.4615,-88.2786
38843,34.2745,-88.3793
45150,39.1657,-84.233
60140,42.0807,-88.517
92504,33.9315,-117.4119
33463,26.5955,-80.1291
33134,25.768,-80.2714
78254,29.5551,-98.7442
65203,38.9348,-92.3639
36303,31.2668,-85.3971
85122,32.8905,-111.754
29418,32.8929,-80.0458
74804,35.3868,-96.9331
55037,46.0189,-92.8993
07205,40.6968,-74.2281
92028,33.369,-117.229
80498,39.7647,-106.2211
92335,34.0794,-117.4551
01851,42.6315,-71.3329
43027,40.2528,-82.5177
07936,40.8192,-74.3636
30747,34.4859,-85.3362
92020,32.7928,-116.9665
15001,40.5921,-80.3197
40216,38.1865,-85.8335
02061,42.1596,-70.8217
73077,36.2875,-97.2842
53014,44.0242,-88.1827
06517,41.3484,-72.9117
98926,46.9996,-120.5163
60126,41.8927,-87.941
44122,41.4701,-81.5232
23320,36.7352,-76.2384
33805,28.072,-81.9609
47918,40.2811,-87.2241
98107,47.6701,-122.3763
33138,25.8521,-80.1821
97230,45.5472,-122.5001
77036,29.6984,-95.5405
92260,33.7225,-116.377
73141,35.4918,-97.3666
19333,40.0452,-75.4227
80918,38.9129,-104.7734
11729,40.7591,-73.3257
46227,39.6789,-86.1302
76640,31.6725,-97.1138
98270,48.0656,-122.1562
39429,31.2559,-89.7998
96819,21.3488,-157.8759
38652,34.4851,-89.0031
87114,35.1868,-106.6652
91605,34.2057,-118.4001
97027,45.3899,-122.5902
82520,42.9208,-108.5913
17331,39.7943,-76.9812
52317,41.7443,-91.6061
34234,27.3688,-82.5268
44312,41.0334,-81.4385
02601,41.6601,-70.2967
93301,35.3866,-119.0171
49684,44.694,-85.6763
33619,27.9382,-82.3756
98203,47.9419,-122.2218
44102,41.4735,-81.7398
00922,,
42001,37.0634,-88.6632
48165,42.5076,-83.6342
30004,34.1124,-84.302
83814,47.6928,-116.785
32808,28.5803,-81.4396
17404,40.0023,-76.7712
01702,42.2822,-71.4339
59405,47.495,-111.2502
80905,38.8377,-104.837
85201,33.4317,-111.8469
37160,35.4863,-86.4624
63126,38.5495,-90.3811
45601,39.338,-82.9895
74006,36.7366,-95.9251
54971,43.8454,-88.8424
78704,30.2428,-97.7658
21401,38.9898,-76.5501
28655,35.7346,-81.7042
21702,39.4926,-77.4612
07866,40.9229,-74.5094
04976,44.7772,-69.6976
01835,42.7528,-71.0843
