,id,vin,price,miles,stock_no,year,make,model,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,engine_block,seller_name,street,city,state,zip
1207,831e1ccc-c0ef,WP1AB2AY2LDA28344,99900.0,4005.0,LDA28344,2020,Porsche,Cayenne,S,SUV,Truck,4WD,Automatic,Premium Unleaded,2.9,V,porsche tulsa,9393 S. Memorial Dr.,Tulsa,OK,74133.0
1208,f948e8d5-dc72,1GCCS149X88144268,5999.0,87111.0,,2008,Chevrolet,Colorado,Work Truck,Pickup,Truck,RWD,Manual,Unleaded,2.9,I,cg continental garcia motors llc,12851 Veta Rica,El Paso,TX,79938.0
1209,6154e71a-b688,1FMNU43S15EA65699,13500.0,194127.0,5EA65699,2005,Ford,Excursion,Limited,SUV,Truck,4WD,Automatic,Unleaded,6.8,V,darryl floars motor cars,100 Centura Dr,Goldsboro,NC,27530.0
1210,9d34a0b9-6448,2G1WF52E449259092,,85120.0,,2004,Chevrolet,Impala,Base,Sedan,Car,FWD,Automatic,Unleaded,3.4,V,techno motors,70 Elm St,Danbury,CT,6810.0
1211,53cafe02-0897,1FDUF4HY5DEA57266,,83647.0,20215,2013,Ford,F-450 Super Duty Chassis Cab,XL,Chassis Cab,Truck,4WD,Automatic,Unleaded,6.8,V,auto choice of middleton,69 North Main St,Middleton,MA,1949.0
1212,d5e73bef-157f,3C6UR5DJ3KG666413,44995.0,32856.0,666413,2019,RAM,Ram 2500 Pickup,Big Horn,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,scotland motors inc,1609 South Main Street,Laurinburg,NC,28352.0
1213,1215a5a9-d6f8,3GNBAAFW1BS514174,7904.0,59629.0,214XT1A,2011,Chevrolet,HHR,LS,Mini Mpv,Car,FWD,Automatic,E85 / Unleaded,2.2,I,beck motor company,1905 N. Garfield Ave.,Pierre,SD,57501.0
1214,78b46439-c4aa,WBAKB8C57CC852497,16995.0,75836.0,852497,2012,BMW,7 Series,ALPINA B7,Sedan,Car,RWD,Automatic,Premium Unleaded,4.4,V,carxoom,875 South Cobb Drive Se,Marietta,GA,30060.0
1215,4ec2bcb4-3fdc,2G1WC5EM1A1262988,13499.0,42817.0,18319848,2010,Chevrolet,Impala,LTZ,Sedan,Car,FWD,Automatic,E85 / Unleaded,3.9,V,carmax harrisonburg,2587 South Main Street,Harrisonburg,VA,22801.0
1216,2e9f3a54-e560,1GNDT13S062351765,4095.0,149737.0,1017,2006,Chevrolet,TrailBlazer,LS,SUV,Truck,4WD,Automatic,Unleaded,4.2,I,daystar motors,2865 Route 9w,Saugerties,NY,12477.0
1217,ddf29eb2-65a2,WP0AB2A76LL140188,128580.0,4240.0,SC200150,2020,Porsche,Panamera,S,Hatchback,Car,4WD,Automatic,Premium Unleaded,2.9,V,porsche santa clarita,23645 Creekside Rd,Santa Clarita,CA,91355.0
1218,ba432a77-e6ff,ZAMGJ45AX80035978,32996.0,29786.0,P035978,2008,Maserati,GranTurismo,Base,Coupe,Car,RWD,Automatic,Premium Unleaded,4.2,V,texas car one,3400 Wiley Post Road,Carrollton,TX,75006.0
1219,022890f7-4ccc,1GHDX03E33D101741,,0.0,4267,2003,Oldsmobile,Silhouette,GL,Minivan,Truck,FWD,Automatic,Unleaded,3.4,V,henry country motors,1217 U.S. 27,Sebring,FL,33870.0
1220,e4c4debd-f3d6,5LMFU28595LJ05001,,123575.0,NM0044A,2005,Lincoln,Navigator,Luxury,SUV,Truck,4WD,Automatic,Premium Unleaded,5.4,V,rally gm superstore,39012 Carriage Way,Palmdale,CA,93551.0
1221,9eb37415-a724,WDDLJ9BB3EA102705,27690.0,55795.0,102705,2014,Mercedes-Benz,CLS-Class,CLS550,Coupe,Car,4WD,Automatic,Premium Unleaded,4.7,V,exclusive motorcars,10100 Liberty Road,Randallstown,MD,21133.0
1222,8456da70-f130,KL8CD6S98DC626635,8500.0,58128.0,K802829A,2013,Chevrolet,Spark,1LT,Hatchback,Car,FWD,Automatic,Unleaded,1.2,I,jim shorkey mitsubishi north huntingdon,13339 Route 30 North,North Huntingdon,PA,15642.0
1223,f984809f-43ba,MAJ3S2GE8KC307251,20988.0,12555.0,M-323B,2019,Ford,Ecosport,SE,Crossover,Truck,FWD,Automatic,Unleaded,1.0,I,jim bass mazda,4032 Houston Harte Expressway,San Angelo,TX,76901.0
1224,f876f5be-74a0,1FD9W4HY5KEF61867,59960.0,14114.0,210242A,2019,Ford,F-450 Super Duty Chassis Cab,XL,Chassis Cab,Truck,4WD,Automatic,Unleaded,6.8,V,hertrich ford of elkton,503 East Pulaski Highway,Elkton,MD,21921.0
1225,626d6d04-7f98,WP1AB2A23ELA58554,31994.0,63085.0,ELA58554T,2014,Porsche,Cayenne,S,SUV,Truck,4WD,Automatic,Premium Unleaded,4.8,V,swickard auto group,2025 Airport Way South,Seattle,WA,98134.0
1226,def0612a-c51d,1GCZGTCA3C1202435,25988.0,36706.0,BCP46684,2012,Chevrolet,Express Cargo,Work Van,Cargo Van,Truck,RWD,Automatic,E85 / Unleaded,4.8,V,berglund chevrolet buick,1824 Williamson Rd Ne,Roanoke,VA,24012.0
1227,f7e2f49d-c150,3C6UR5CJ4JG273729,,33021.0,WA73729,2018,RAM,Ram 2500 Pickup,Tradesman,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,fitzgerald mazda,114 Baughmans Lane,Frederick,MD,21702.0
1228,fd2926eb-2eb0,1GCWGBFP1L1146556,27995.0,38455.0,146556,2020,Chevrolet,Express Cargo,Work Van,Cargo Van,Truck,RWD,Automatic,Unleaded,4.3,V,fam vans,10870 Kalama River Avenue,Fountain Valley,CA,92708.0
